Instance,Weighted lbs Carbon per CPU ms
NA202,
CS102,0.00024
CS106,0.00024
CS107,0.00024
CS128,0.00024
CS129,0.00024
CS173,0.00018
CS365,0.00018
EU16,0.00024
EU17,0.0002273684211
EU18,0.00024
EU28,0.00024
EU33,0.00018
EU34,0.00018
EU35,0.00018
EU37,0.00018
EU38,0.00018
EU40,0.00018
EU41,0.00018
EU42,0.00018
EU43,0.00018
EU44,0.00018
EU45,0.00018
AP21,
CS115,
CS116,
CS137,
CS151,
NA21,
NA64,0.00167
CS100,0.0015
CS101,0.0015
CS105,0.0015
CS108,0.0015
CS109,0.0015
CS160,0.0011
CS162,0.0011
CS174,0.0011
CS189,0.0011
CS364,0.0011
CS84,0.0015
CS88,0.0015
CS89,0.0015
EU19,0.001362068966
EU25,0.0015
EU26,0.00135
EU27,0.0015
EU29,0.0015
EU30,0.0015
EU31,0.0015
EU32,0.0013
EU36,0.0011
EU39,0.0011
EU46,0.0011
EU47,0.0011
EU48,0.0011
CS132,
CS133,
CS234,
NA107,
NA215,
NA218,
CS314,
AP0,0.00262
AP11,0.00305
AP12,0.00305
AP15,0.00262
AP18,0.00305
AP24,0
AP26,0
AP4,0.002691666667
AP5,0.00262
CS111,0.00305
CS112,0.00305
CS114,0.00305
CS117,0.00305
CS57,0.00262
CS6,0.00262
CS73,0.00262
CS24,0.00149
CS28,0.00149
CS4,0.00149
CS41,0.00149
CS45,0.00149
CS46,0.00149
NA100,0.001287468354
NA101,0.001383333333
NA103,0.00129
NA104,0.00149
NA105,0.00129
NA109,0.00129
NA111,0.00149
NA112,0.00149
NA113,0.00129
NA114,0.00129
NA119,0.00129
NA122,0.00129
NA129,0.001336153846
NA131,0.00129
NA135,0.00149
NA136,0.00129
NA75,0.00149
NA80,0.001356666667
NA85,0.00149
NA90,0.001356666667
NA91,0.001294444444
NA93,0.00149
NA96,0.00149
CS165,0.00102
CS166,0.00102
CS169,0.00102
CS170,0.001057
CS171,0.00102
CS190,0.00102
CS191,0.00102
CS192,0.00102
CS194,0.00102
CS196,0.00102
CS197,0.00102
CS199,0.00102
CS202,0.00102
CS210,0.00102
CS213,0.00102
CS214,0.00102
CS215,0.00102
CS218,0.00102
CS220,0.00102
CS221,0.00102
CS225,0.00102
CS226,0.001134
CS60,0.0014
CS63,0.00102
NA118,0.0012195
NA123,0.0014
NA125,0.00102
NA126,0.0014
NA127,0.00121
NA128,0.00102
NA133,0.00121
NA147,0.00102
NA156,0.00102
NA161,0.00102
NA164,0.00102
NA165,0.00102
NA167,0.00102
NA168,0.00102
NA170,0.00102
NA171,0.0014
NA172,0.0013145
NA173,0.0014
NA174,0.0014
NA212,0.00102
NA213,0.00102
CS123,0.00137
CS124,0.00137
CS125,0.00137
CS159,0.001
CS167,0.001
CS172,0.001
CS193,0.001
CS195,0.001
CS198,0.001
CS200,0.001
CS201,0.001
CS203,0.001
CS209,0.001
CS211,0.001
CS212,0.001
CS216,0.001
CS217,0.001
CS219,0.001
CS222,0.001
CS223,0.001
CS224,0.001
CS59,0.00137
CS61,0.001
CS62,0.001
NA120,0.00137
NA121,0.00137
NA134,0.001246666667
NA137,0.001
NA138,0.001
NA139,0.001
NA140,0.001
NA148,0.001
NA149,0.001
NA150,0.001
NA151,0.001
NA152,0.001
NA153,0.001
NA158,0.001
NA159,0.001
NA160,0.001
NA162,0.001
NA163,0.001
NA166,0.001
NA169,0.001
NA204,0.001
NA206,0.001
NA207,0.001
NA208,0.001
NA209,0.001
NA210,0.001
NA211,0.001
CS236,0.00102
CS241,0.00102
CS242,0.00102
CS243,0.00102
CS244,0.00102
CS245,0.00102
CS256,0.00089
CS261,0.00089
CS262,0.00089
CS263,0.00089
CS264,0.00089
CS265,0.00089
CS266,0.00089
CS267,0.00089
CS281,0.00089
CS282,0.00089
CS283,0.00089
NA223,0.00102
NA225,0.00102
NA235,0.00089
NA236,0.00089
NA237,0.00089
NA238,0.00089
CS237,0.001
CS238,0.001
CS239,0.001
CS240,0.001
CS246,0.001
CS247,0.001
CS248,0.001
CS249,0.001
CS250,0.001
CS251,0.001
CS252,0.001
CS253,0.001
CS254,0.00087
CS255,0.00087
CS257,0.00087
CS258,0.00087
CS259,0.00087
CS260,0.00087
CS268,0.00087
CS269,0.00087
CS270,0.00087
CS271,0.00087
CS272,0.00087
CS273,0.00087
CS274,0.00087
CS275,0.00087
CS276,0.00087
CS277,0.00087
CS278,0.00087
CS279,0.00087
CS280,0.00087
NA224,0.001
NA226,0.001
NA231,0.00087
NA232,0.00087
NA233,0.00087
NA234,0.00087
CS315,0.00171
CS110,0.00088
CS121,0.00088
CS122,0.00088
CS127,0.00088
CS80,0.00088
CS86,0.00088
CS87,0.00088
UM1,0.00088
UM2,0.00088
UM4,0.00088
UM6,0.00079
UM7,0.00079
UM9,0.00064
CS119,0.00116
CS126,0.00116
CS81,0.00116
UM3,0.00116
UM5,0.00116
UM8,0.00085
CS1,0.00199
CS2,0.00199
CS22,0.00199
CS40,0.00199
CS42,0.00199
CS44,0.00199
CS49,0.00199
NA102,0.00199
NA110,0.00199
NA115,0.00172
NA116,0.00199
NA117,0.00172
NA124,0.00199
NA130,0.00199
NA132,0.00199
NA141,0.001811487603
NA142,0.00181
NA81,0.00199
NA83,0.00172
NA89,0.00199
NA94,0.001855
NA95,0.001726923077
NA98,0.001855
GS0,0.001896
NA68,0.00161
AP14,
AP20,
AP22,
AP28,
AP9,
CS152,
CS308,
CS384,
CS385,
NA214,
NA217,
NA219,
NA291,
AP10,0.00212
AP13,0.001835
AP16,0.002092857143
AP17,0.00212
AP19,0.001835
AP25,0.00155
AP27,0.00155
AP3,0.00198
AP6,0.0019
AP7,0.00186
AP8,0.0019
CS113,0.00212
CS31,0.00188
CS5,0.00194
CS58,0.00192
CS72,0.00197
CS74,0.00182
CS75,0.00191
CS76,0.00191
CS32,
CS33,
CS142,
CS148,
NA146,
NA154,
NA155,
NA196,
NA92,
NA99,
CS138,
CS98,
CS99,
usa1,0.00356
usa220,0.00356
usa222s,0.00356
usa2s,0.00356
usa3s,0.00356
usa80s,0.00356
,
sgp1,0.0035
sgp10,0.0035
sgp2s,0.0035
sgp3,0.0035
sgp4s,0.0035
sgp6s,0.0035
sgp8s,0.0035
bra1,0.00063
bra14,0.00063
bra16,0.00063
bra18,0.00063
bra2s,0.00063
bra3,0.00063
bra4s,0.00063
bra5,0.00063
bra6s,0.00063
bra8s,0.00063
fra1,0.00045
fra11,0.00045
fra12s,0.00045
fra19,0.00045
fra24s,0.00045
fra2s,0.00045
fra32,0.00045
fra34,0.00045
fra36,0.00045
fra4s,0.00045
fra5,0.00045
fra6s,0.00045
fra7,0.00045
fra8s,0.00045
fra9,0.00045
gbr1,0.00195
gbr2s,0.00195
gbr34,0.00195
gbr36,0.00195
gbr38,0.00195
gbr4s,0.00195
kor1,0.00428
kor2s,0.00428
kor4s,0.00428
swe1,0.00006
swe2s,0.00006
swe4s,0.00006
idn2s,0.00676
idn4s,0.00676
idn6,0.00676
ita2s,0.00199
ita4s,0.00199
ita6,0.00199
ind1,0.00606
ind10s,0.00606
ind11,0.00606
ind12s,0.00606
ind13,0.00606
ind14s,0.00606
ind15,0.00606
ind16s,0.00606
ind17,0.00606
ind18s,0.00606
ind19,0.00606
ind20s,0.00606
ind21,0.00606
ind22s,0.00606
ind23,0.00606
ind24s,0.00606
ind25,0.00606
ind26s,0.00606
ind27,0.00606
ind28s,0.00606
ind2s,0.00606
ind37,0.00606
ind3s,0.00606
ind41,0.00606
ind43,0.00606
ind47,0.00606
ind4s,0.00606
ind5,0.00606
ind54s,0.00606
ind56,0.00606
ind58,0.00606
ind60,0.00606
ind62,0.00606
ind64,0.00606
ind66,0.00606
ind68,0.00606
ind6s,0.00606
ind7,0.00606
ind70,0.00606
ind72,0.00606
ind74,0.00606
ind76,0.00606
ind78,0.00606
ind80,0.00606
ind8s,0.00606
ind9,0.00606
deu1,0.00289
deu10s,0.00289
deu11,0.00289
deu12s,0.00289
deu13,0.00289
deu14s,0.00289
deu16s,0.00289
deu20s,0.00289
deu25,0.00289
deu2s,0.00289
deu3,0.00289
deu36,0.00289
deu38,0.00289
deu46,0.00289
deu48s,0.00289
deu4s,0.00289
deu5,0.00289
deu50s,0.00289
deu52,0.00289
deu54,0.00289
deu6s,0.00289
deu8s,0.00289
aus1,0.00676
aus11,0.00676
aus13,0.00676
aus14s,0.00676
aus16s,0.00676
aus18s,0.00676
aus20s,0.00676
aus22s,0.00676
aus23,0.00676
aus24s,0.00676
aus25,0.00676
aus26s,0.00676
aus27,0.00676
aus28s,0.00676
aus2s,0.00676
aus3,0.00676
aus36s,0.00676
aus38s,0.00676
aus43,0.00676
aus47,0.00676
aus4s,0.00676
aus5,0.00676
aus58,0.00676
aus60,0.00676
aus62,0.00676
aus64,0.00676
aus66,0.00676
aus68,0.00676
aus6s,0.00676
aus7,0.00676
aus70,0.00676
aus72,0.00676
aus74,0.00676
aus75,0.00676
aus76,0.00676
aus77,0.00676
aus78,0.00676
aus80s,0.00676
aus9,0.00676
usa10s,0.003
usa13,0.003
usa15,0.003
usa17,0.003
usa19,0.003
usa202s,0.003
usa20s,0.003
usa224s,0.003
usa226,0.003
usa228,0.003
usa22s,0.003
usa230,0.003
usa232,0.003
usa234,0.003
usa236,0.003
usa238,0.003
usa24s,0.003
usa26,0.003
usa28s,0.003
usa30s,0.003
usa32s,0.003
usa34,0.003
usa36,0.003
usa59,0.003
usa60s,0.003
usa61,0.003
usa62s,0.003
usa7,0.003
usa8s,0.003
can1,0.00111
can11,0.00111
can17,0.00111
can20s,0.00111
can25,0.00111
can26,0.00111
can27,0.00111
can28,0.00111
can29,0.00111
can2s,0.00111
can34,0.00111
can36,0.00111
can38,0.00111
can40,0.00111
can42,0.00111
can44,0.00111
can46,0.00111
can48,0.00111
can4s,0.00111
can50,0.00111
can52,0.00111
can6s,0.00111
can8s,0.00111
jpn1,0.00433
jpn10s,0.00433
jpn12s,0.00433
jpn132,0.00433
jpn17,0.00433
jpn18s,0.00433
jpn19,0.00433
jpn20s,0.00433
jpn21,0.00433
jpn22s,0.00433
jpn24s,0.00433
jpn28s,0.00433
jpn2s,0.00433
jpn3,0.00433
jpn4s,0.00433
jpn5,0.00433
jpn6s,0.00433
jpn7,0.00433
jpn8s,0.00433